ID|BRAND|MODEL|VARIANT|ENGINE|TRANSMISSION|FUEL|MILEAGE|PRICE|SEATS|URL
1|Maruti|Swift|LXI|1197|Manual|Petrol|22|5.14|5|https://www.cardekho.com/maruti/swift
3|Maruti|Swift|VXI|1197|Manual|Petrol|22|6.14|5|https://www.cardekho.com/maruti/swift
5|Maruti|Baleno|Sigma|1197|Manual|Petrol|21.4|5.58|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno
6|Maruti|Baleno|Delta|1197|Manual|Petrol|21.4|6.36|5|https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno
12|Maruti|Dzire|LXI 1.2|1197|Manual|Petrol|22|5.82|5|https://www.cardekho.com/maruti/swift-dzire
14|Maruti|Dzire|VXI 1.2|1197|Manual|Petrol|22|6.73|5|https://www.cardekho.com/maruti/swift-dzire
15|Maruti|Dzire|ZXI 1.2|1197|Manual|Petrol|22|7.32|5|https://www.cardekho.com/maruti/swift-dzire
17|Maruti|Dzire|AMI ZXI|1197|Automatic|Petrol|22|7.79|5|https://www.cardekho.com/maruti/swift-dzire
18|Hyundai|Venue|E|1197|Manual|Petrol|17.52|6.5|5|https://www.cardekho.com/hyundai/venue
19|Hyundai|Venue|S|1197|Manual|Petrol|17.52|7.2|5|https://www.cardekho.com/hyundai/venue
21|Hyundai|Venue|S Turbo|998|Manual|Petrol|18.27|8.21|5|https://www.cardekho.com/hyundai/venue
23|Hyundai|Venue|S Turbo DCT|998|Automatic|Petrol|18.15|9.35|5|https://www.cardekho.com/hyundai/venue
24|Hyundai|Venue|SX Turbo|998|Manual|Petrol|18.27|9.54|5|https://www.cardekho.com/hyundai/venue
26|Hyundai|Venue|SX Opt Turbo|998|Manual|Petrol|18.27|10.6|5|https://www.cardekho.com/hyundai/venue
28|Hyundai|Venue|SX Plus Turbo DCT|998|Automatic|Petrol|18.15|11.1|5|https://www.cardekho.com/hyundai/venue
29|Hyundai|Elite i20|Era|1197|Manual|Petrol|18.6|5.52|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
30|Hyundai|Elite i20|Magna Plus|1197|Manual|Petrol|18.6|6.27|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
32|Hyundai|Elite i20|Sportz Plus|1197|Manual|Petrol|18.6|7.14|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
33|Hyundai|Elite i20|Sportz Plus Dual Tone|1197|Manual|Petrol|18.6|7.44|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
35|Hyundai|Elite i20|ASta Option|1197|Manual|Petrol|18.6|8.08|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
36|Hyundai|Elite i20|Sportz plus CVT|1197|Automatic|Petrol|17.4|8.24|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
39|Hyundai|Elite i20|Asta Option CVT|1197|Automatic|Petrol|17.4|9.13|5|https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20
47|Mahindra|XUV300|W4|1197|Manual|Petrol|17|8.1|5|https://www.cardekho.com/mahindra/xuv300
49|Mahindra|XUV300|W6|1197|Manual|Petrol|17|8.95|5|https://www.cardekho.com/mahindra/xuv300
52|Mahindra|XUV300|W8|1197|Manual|Petrol|17|10.4|5|https://www.cardekho.com/mahindra/xuv300
55|Mahindra|XUV300|W8 Option|1197|Manual|Petrol|17|11.64|5|https://www.cardekho.com/mahindra/xuv300
56|Mahindra|XUV300|W8 Option Dual Tone|1197|Manual|Petrol|17|11.79|5|https://www.cardekho.com/mahindra/xuv300
89|Mahindra|KUV100 NXT|G80 K2|1198|Manual|Petrol|18.15|4.88|6|https://www.cardekho.com/mahindra/kuv-100
90|Mahindra|KUV100 NXT|G80 K2 Plus|1198|Manual|Petrol|18.15|5.32|6|https://www.cardekho.com/mahindra/kuv-100
91|Mahindra|KUV100 NXT|G80 K4 Plus 5Str|1198|Manual|Petrol|18.15|5.73|6|https://www.cardekho.com/mahindra/kuv-100
92|Mahindra|KUV100 NXT|G80 K4 Plus|1198|Manual|Petrol|18.15|5.79|6|https://www.cardekho.com/mahindra/kuv-100
